catcher_id,subscription_sum,subscription_count,currency
1192,0.0,1,0
1193,99.0,1,0
1195,99.0,1,0
1196,99.0,1,0
1197,99.0,1,0
1198,99.0,1,0
1199,99.0,1,0
1200,99.0,1,0
1201,99.0,1,0
1202,99.0,1,0
1203,99.0,1,0
1204,298.0,2,0
1205,99.0,1,0
1206,99.0,1,0
1207,99.0,1,0
1208,99.0,1,0
1209,1585.0,15,0
1210,99.0,1,0
1211,99.0,1,0
1214,99.0,1,0
1215,99.0,1,0
1221,99.0,1,0
1222,99.0,1,0
1233,99.0,1,0
1235,298.0,2,0
1236,99.0,1,0
1237,99.0,1,0
1238,99.0,1,0
1239,99.0,1,0
1240,99.0,1,0
1242,99.0,1,0
1243,99.0,1,0
1244,99.0,1,0
1246,99.0,1,0
1247,99.0,1,0
1248,99.0,1,0
1249,99.0,1,0
1250,99.0,1,0
1251,99.0,1,0
1252,99.0,1,0
1253,198.0,2,0
1254,99.0,1,0
1255,99.0,1,0
1257,99.0,1,0
1258,99.0,1,0
1259,99.0,1,0
1261,99.0,1,0
1268,99.0,1,0
1269,99.0,1,0
1271,99.0,1,0
1273,99.0,1,0
1275,99.0,1,0
1276,1389.0,11,0
1278,99.0,1,0
1280,99.0,1,0
1281,99.0,1,0
1282,99.0,1,0
1283,99.0,1,0
1284,99.0,1,0
1285,99.0,1,0
1286,99.0,1,0
1287,99.0,1,0
1288,99.0,1,0
1289,99.0,1,0
1290,99.0,1,0
1291,99.0,1,0
1292,99.0,1,0
1293,0.0,1,0
1295,99.0,1,0
1303,99.0,1,0
1304,99.0,1,0
1305,0.0,1,0
1307,0.0,1,0
1308,0.0,1,0
1309,0.0,1,0
1310,99.0,1,0
1312,0.0,1,0
1313,99.0,1,0
1314,99.0,1,0
1316,99.0,1,0
1341,99.0,1,0
1342,99.0,1,0
1343,99.0,1,0
1344,99.0,1,0
1345,99.0,1,0
1346,99.0,1,0
1347,99.0,1,0
1348,99.0,1,0
1350,99.0,1,0
1351,99.0,1,0
1352,99.0,1,0
1353,99.0,1,0
1354,99.0,1,0
1355,99.0,1,0
1356,99.0,1,0
1357,99.0,1,0
1358,99.0,1,0
1359,99.0,1,0
1361,0.0,1,0
1363,99.0,1,0
1364,99.0,2,0
1365,99.0,1,0
1366,0.0,1,0
1367,99.0,1,0
1368,99.0,1,0
1369,99.0,1,0
1371,2288.0,12,0
1372,410.0,3,0
1373,99.0,1,0
1375,0.0,1,0
1376,0.0,1,0
1377,99.0,1,0
1394,99.0,1,0
1395,99.0,1,0
1396,99.0,1,0
1400,99.0,1,0
1401,99.0,1,0
